Индекс;Символ;Верхняя левая четверть;Верхняя правая четверть;Нижняя левая четверть;Нижняя правая четверть;Удельный вес верхней левой четверти;Удельный вес верхней правой четверти;Удельный вес нижней левой четверти;Удельный вес нижней правой четверти;Центр тяжести x;Центр тяжести y;Нормированный центр тяжести x;Нормированный центр тяжести y;Момент инерции x;Момент инерции y;Нормированный момент инерции x;Нормированный момент инерции y
1;а;38;51;59;61;0.34545454545454546;0.4214876033057851;0.49166666666666664;0.4621212121212121;9.440191387559809;11.913875598086124;0.44953292321713373;0.5179945912211358;10278.449760765548;6569.502392344497;21.280434287299272;13.601454228456515
2;б;65;71;87;78;0.3282828282828283;0.3287037037037037;0.4393939393939394;0.3611111111111111;10.548172757475083;17.963455149501662;0.4586162068467427;0.49898486526393504;33086.59800664452;14702.55149501661;39.95965942831464;17.756704704126342
3;в;59;53;63;66;0.48760330578512395;0.4380165289256198;0.4772727272727273;0.5;10.908713692946058;11.120331950207468;0.495850622406639;0.48349269348728124;12145.510373443984;8031.991701244813;24.00298492775491;15.873501385859315
4;г;54;25;57;1;0.4909090909090909;0.22727272727272727;0.475;0.008333333333333333;7.145985401459854;9.233576642335766;0.3572992700729927;0.40145985401459855;8268.525547445257;2557.0802919708035;17.975055537924472;5.558870199936529
5;д;32;70;47;64;0.19047619047619047;0.4166666666666667;0.2611111111111111;0.35555555555555557;13.690140845070422;13.107981220657276;0.5704225352112676;0.4519993524364578;15948.516431924883;9371.549295774648;22.91453510334035;13.464869677837138
6;е;47;54;65;31;0.42727272727272725;0.4909090909090909;0.5416666666666666;0.25833333333333336;8.48730964467005;11.187817258883248;0.4243654822335025;0.48642683734274994;9200.05076142132;6131.218274111676;20.000110350915914;13.328735378503643
7;ж;72;71;93;93;0.3850267379679144;0.37967914438502676;0.45588235294117646;0.45588235294117646;16.407294832826747;11.285714285714286;0.4825674950831396;0.49068322981366463;17739.142857142855;24221.422492401216;22.68432590427475;30.973686051663957
8;ѕ;44;29;31;57;0.5714285714285714;0.32954545454545453;0.36904761904761907;0.59375;6.950310559006211;11.29192546583851;0.46335403726708074;0.49095328112341347;8011.27950310559;3339.6024844720496;23.22110000900171;9.68000720136826
9;з;30;49;16;58;0.30303030303030304;0.494949494949495;0.14814814814814814;0.5370370370370371;10.34640522875817;10.294117647058824;0.574800290486565;0.44757033248081846;8471.764705882353;3300.6405228758167;20.463199772662687;7.972561649458495
10;и;54;64;69;59;0.3776223776223776;0.44755244755244755;0.4423076923076923;0.3782051282051282;12.426829268292684;11.024390243902438;0.4779549718574109;0.4793213149522799;12833.853658536585;12174.18292682927;21.461293743372217;20.358165429480383
11;i;20;28;40;58;0.2222222222222222;0.25925925925925924;0.4444444444444444;0.5370370370370371;4.917808219178082;21.335616438356166;0.4470734744707347;0.5926560121765602;15212.554794520547;435.01369863013696;38.41554241040542;1.0985194409851944
12;к;60;38;65;59;0.45454545454545453;0.2878787878787879;0.4513888888888889;0.4097222222222222;10.472972972972974;11.324324324324325;0.4363738738738739;0.49236192714453586;12016.648648648648;7553.337837837838;21.769291030160595;13.683583039561302
13;л;27;60;42;59;0.20454545454545456;0.4195804195804196;0.2916666666666667;0.3782051282051282;13.819148936170214;11.164893617021276;0.5527659574468086;0.4854301572617946;11759.88829787234;7629.851063829787;20.451979648473635;13.269306197964847
