№;гипотеза_1;гипотеза_2;гипотеза_3;гипотеза_4;гипотеза_5;гипотеза_6;гипотеза_7;гипотеза_8;гипотеза_9;гипотеза_10;гипотеза_11;гипотеза_12;гипотеза_13;гипотеза_14;гипотеза_15;гипотеза_16;гипотеза_17;гипотеза_18;гипотеза_19;гипотеза_20;гипотеза_21;гипотеза_22;гипотеза_23;гипотеза_24;гипотеза_25;гипотеза_26;гипотеза_27;гипотеза_28;гипотеза_29;гипотеза_30;гипотеза_31;гипотеза_32;гипотеза_33;гипотеза_34;гипотеза_35;гипотеза_36;гипотеза_37;гипотеза_38;гипотеза_39
0;т:0.9675;р:0.9525;ч:0.9426;ѱ:0.9402;ѡ:0.9350;щ:0.9339;ц:0.9301;ѵ:0.9280;х:0.9161;у:0.9050;г:0.9048;д:0.9014;п:0.8974;л:0.8922;б:0.8877;о:0.8856;ю:0.8836;з:0.8834;ф:0.8808;м:0.8806;ж:0.8798;ѯ:0.8795;н:0.8791;и:0.8759;ъ:0.8751;е:0.8702;к:0.8691;ѕ:0.8688;ш:0.8671;с:0.8647;ѫ:0.8626;а:0.8548;ы:0.8529;ѳ:0.8509;ѣ:0.8435;в:0.8369;ь:0.8362;i:0.8252;ѧ:0.8161
1;ы:0.9902;а:0.9797;ш:0.9692;ѕ:0.9625;ж:0.9545;и:0.9533;е:0.9526;м:0.9511;н:0.9509;ю:0.9492;о:0.9440;к:0.9439;ь:0.9360;ъ:0.9360;ѳ:0.9327;п:0.9312;ѫ:0.9279;б:0.9238;в:0.9233;с:0.9151;ѯ:0.9136;х:0.9024;ф:0.8917;л:0.8901;ѣ:0.8892;ц:0.8853;ѡ:0.8836;i:0.8794;щ:0.8775;ѧ:0.8732;р:0.8672;з:0.8634;ч:0.8615;д:0.8524;т:0.8382;г:0.8306;ѱ:0.8305;у:0.8179;ѵ:0.8159
2;м:0.9931;н:0.9768;и:0.9754;ж:0.9727;ю:0.9721;ш:0.9695;о:0.9690;ѕ:0.9665;п:0.9637;а:0.9551;е:0.9546;ы:0.9525;ѳ:0.9424;к:0.9383;ъ:0.9348;б:0.9298;в:0.9272;ц:0.9216;х:0.9190;ѫ:0.9178;ѡ:0.9156;щ:0.9133;л:0.9133;ѯ:0.9130;ь:0.9048;с:0.9040;ф:0.8987;ч:0.8986;р:0.8980;з:0.8947;ѣ:0.8816;д:0.8790;т:0.8646;i:0.8632;ѱ:0.8609;ѧ:0.8586;г:0.8456;ѵ:0.8411;у:0.8348
3;ю:0.9731;о:0.9718;м:0.9650;н:0.9633;и:0.9624;ѕ:0.9604;е:0.9573;ш:0.9534;п:0.9531;ж:0.9463;ѳ:0.9456;ы:0.9449;а:0.9433;к:0.9376;б:0.9272;в:0.9205;ъ:0.9175;ц:0.9141;ѡ:0.9124;щ:0.9085;с:0.9082;ѯ:0.9076;х:0.9057;ь:0.9045;ѫ:0.9020;р:0.8954;ф:0.8935;л:0.8905;ч:0.8839;з:0.8722;ѣ:0.8695;д:0.8631;т:0.8568;ѱ:0.8556;i:0.8527;ѧ:0.8479;г:0.8464;ѵ:0.8391;у:0.8333
4;ѣ:0.9752;ѫ:0.9587;i:0.9534;ѧ:0.9505;ѯ:0.9465;ъ:0.9462;ф:0.9391;б:0.9303;ь:0.9266;с:0.9159;х:0.9115;ы:0.9093;а:0.9006;ж:0.8982;о:0.8973;ю:0.8952;ш:0.8949;л:0.8939;к:0.8908;м:0.8902;ѕ:0.8893;е:0.8885;н:0.8838;и:0.8834;п:0.8782;ѡ:0.8739;ц:0.8730;д:0.8715;щ:0.8654;р:0.8609;ѳ:0.8583;ч:0.8548;з:0.8520;т:0.8455;в:0.8453;у:0.8428;г:0.8393;ѱ:0.8371;ѵ:0.8281
5;с:0.9605;к:0.9512;ь:0.9408;е:0.9405;ѕ:0.9297;ю:0.9277;б:0.9271;ы:0.9251;а:0.9242;о:0.9231;ѯ:0.9202;и:0.9196;н:0.9194;ш:0.9190;ж:0.9176;п:0.9142;ъ:0.9121;м:0.9119;ѫ:0.9090;х:0.9081;ѳ:0.8994;ф:0.8946;ѡ:0.8869;в:0.8800;i:0.8768;р:0.8759;ц:0.8744;ѣ:0.8736;щ:0.8705;г:0.8663;л:0.8587;ѧ:0.8567;т:0.8507;ч:0.8470;у:0.8440;ѱ:0.8350;д:0.8329;ѵ:0.8316;з:0.8273
6;ч:0.9632;ц:0.9512;щ:0.9494;з:0.9315;ѡ:0.9289;р:0.9233;п:0.9158;л:0.9140;д:0.9127;м:0.9106;ѱ:0.9078;о:0.9078;ю:0.9042;н:0.9033;и:0.9004;ж:0.8998;х:0.8968;т:0.8951;ш:0.8909;ѕ:0.8894;б:0.8872;е:0.8850;ѳ:0.8838;ъ:0.8827;а:0.8761;ѵ:0.8761;ф:0.8748;ы:0.8743;к:0.8741;ѯ:0.8729;в:0.8724;ѫ:0.8660;с:0.8536;г:0.8495;у:0.8493;ѣ:0.8460;ь:0.8399;i:0.8202;ѧ:0.8199
7;а:0.9639;ѕ:0.9546;ы:0.9538;е:0.9535;к:0.9513;ш:0.9436;и:0.9417;н:0.9385;ж:0.9376;ѳ:0.9372;ь:0.9360;ю:0.9319;м:0.9311;в:0.9278;о:0.9245;п:0.9183;с:0.9121;ъ:0.9115;ѫ:0.9079;б:0.9045;ѯ:0.8953;х:0.8876;ф:0.8735;ѡ:0.8708;i:0.8691;ѣ:0.8680;ц:0.8661;л:0.8625;щ:0.8601;ѧ:0.8553;р:0.8552;ч:0.8431;з:0.8396;д:0.8284;г:0.8278;т:0.8274;ѱ:0.8179;у:0.8091;ѵ:0.8057
8;с:0.9605;к:0.9512;ь:0.9408;е:0.9405;ѕ:0.9297;ю:0.9277;б:0.9271;ы:0.9251;а:0.9242;о:0.9231;ѯ:0.9202;и:0.9196;н:0.9194;ш:0.9190;ж:0.9176;п:0.9142;ъ:0.9121;м:0.9119;ѫ:0.9090;х:0.9081;ѳ:0.8994;ф:0.8946;ѡ:0.8869;в:0.8800;i:0.8768;р:0.8759;ц:0.8744;ѣ:0.8736;щ:0.8705;г:0.8663;л:0.8587;ѧ:0.8567;т:0.8507;ч:0.8470;у:0.8440;ѱ:0.8350;д:0.8329;ѵ:0.8316;з:0.8273
9;т:0.9675;р:0.9525;ч:0.9426;ѱ:0.9402;ѡ:0.9350;щ:0.9339;ц:0.9301;ѵ:0.9280;х:0.9161;у:0.9050;г:0.9048;д:0.9014;п:0.8974;л:0.8922;б:0.8877;о:0.8856;ю:0.8836;з:0.8834;ф:0.8808;м:0.8806;ж:0.8798;ѯ:0.8795;н:0.8791;и:0.8759;ъ:0.8751;е:0.8702;к:0.8691;ѕ:0.8688;ш:0.8671;с:0.8647;ѫ:0.8626;а:0.8548;ы:0.8529;ѳ:0.8509;ѣ:0.8435;в:0.8369;ь:0.8362;i:0.8252;ѧ:0.8161
